2026-01-13 02:04:25 install libgcrypt20:amd64 <none> 1.10.3-2build1
2026-01-13 02:04:25 status half-installed libgcrypt20:amd64 1.10.3-2build1
2026-01-13 02:04:25 status unpacked libgcrypt20:amd64 1.10.3-2build1
2026-01-13 02:04:25 install libgmp10:amd64 <none> 2:6.3.0+dfsg-2ubuntu6
2026-01-13 02:04:25 status half-installed libgmp10:amd64 2:6.3.0+dfsg-2ubuntu6
2026-01-13 02:04:25 status unpacked libgmp10:amd64 2:6.3.0+dfsg-2ubuntu6
2026-01-13 02:04:25 install libgpg-error0:amd64 <none> 1.47-3build2
2026-01-13 02:04:25 status half-installed libgpg-error0:amd64 1.47-3build2
2026-01-13 02:04:25 status unpacked libgpg-error0:amd64 1.47-3build2
2026-01-13 02:04:25 install liblz4-1:amd64 <none> 1.9.4-1build1
2026-01-13 02:04:25 status half-installed liblz4-1:amd64 1.9.4-1build1
2026-01-13 02:04:25 status unpacked liblz4-1:amd64 1.9.4-1build1
2026-01-13 02:04:25 install liblzma5:amd64 <none> 5.6.1+really5.4.5-1
2026-01-13 02:04:25 status half-installed liblzma5:amd64 5.6.1+really5.4.5-1
2026-01-13 02:04:25 status unpacked liblzma5:amd64 5.6.1+really5.4.5-1
2026-01-13 02:04:25 install libmd0:amd64 <none> 1.1.0-2build1
2026-01-13 02:04:25 status half-installed libmd0:amd64 1.1.0-2build1
2026-01-13 02:04:25 status unpacked libmd0:amd64 1.1.0-2build1
2026-01-13 02:04:25 install libmount1:amd64 <none> 2.39.3-9ubuntu6
2026-01-13 02:04:25 status half-installed libmount1:amd64 2.39.3-9ubuntu6
2026-01-13 02:04:25 status unpacked libmount1:amd64 2.39.3-9ubuntu6
2026-01-13 02:04:25 install libncursesw6:amd64 <none> 6.4+20240113-1ubuntu2
2026-01-13 02:04:25 status half-installed libncursesw6:amd64 6.4+20240113-1ubuntu2
2026-01-13 02:04:25 status unpacked libncursesw6:amd64 6.4+20240113-1ubuntu2
2026-01-13 02:04:25 install libpam-modules:amd64 <none> 1.5.3-5ubuntu5
2026-01-13 02:04:25 status half-installed libpam-modules:amd64 1.5.3-5ubuntu5
2026-01-13 02:04:25 status unpacked libpam-modules:amd64 1.5.3-5ubuntu5
2026-01-13 02:04:25 install libpam-modules-bin:amd64 <none> 1.5.3-5ubuntu5
2026-01-13 02:04:25 status half-installed libpam-modules-bin:amd64 1.5.3-5ubuntu5
2026-01-13 02:04:25 status unpacked libpam-modules-bin:amd64 1.5.3-5ubuntu5
2026-01-13 02:04:25 install libpam-runtime:all <none> 1.5.3-5ubuntu5
2026-01-13 02:04:25 status half-installed libpam-runtime:all 1.5.3-5ubuntu5
2026-01-13 02:04:25 status unpacked libpam-runtime:all 1.5.3-5ubuntu5
2026-01-13 02:04:25 install libpam0g:amd64 <none> 1.5.3-5ubuntu5
2026-01-13 02:04:25 status half-installed libpam0g:amd64 1.5.3-5ubuntu5
2026-01-13 02:04:25 status unpacked libpam0g:amd64 1.5.3-5ubuntu5
2026-01-13 02:04:25 install libpcre2-8-0:amd64 <none> 10.42-4ubuntu2
2026-01-13 02:04:25 status half-installed libpcre2-8-0:amd64 10.42-4ubuntu2
2026-01-13 02:04:25 status unpacked libpcre2-8-0:amd64 10.42-4ubuntu2
2026-01-13 02:04:25 install libproc2-0:amd64 <none> 2:4.0.4-4ubuntu3
2026-01-13 02:04:25 status half-installed libproc2-0:amd64 2:4.0.4-4ubuntu3
2026-01-13 02:04:25 status unpacked libproc2-0:amd64 2:4.0.4-4ubuntu3
2026-01-13 02:04:26 install libselinux1:amd64 <none> 3.5-2ubuntu2
2026-01-13 02:04:26 status half-installed libselinux1:amd64 3.5-2ubuntu2
2026-01-13 02:04:26 status unpacked libselinux1:amd64 3.5-2ubuntu2
2026-01-13 02:04:26 install libsemanage-common:all <none> 3.5-1build5
2026-01-13 02:04:26 status half-installed libsemanage-common:all 3.5-1build5
2026-01-13 02:04:26 status unpacked libsemanage-common:all 3.5-1build5
2026-01-13 02:04:26 install libsemanage2:amd64 <none> 3.5-1build5
2026-01-13 02:04:26 status half-installed libsemanage2:amd64 3.5-1build5
2026-01-13 02:04:26 status unpacked libsemanage2:amd64 3.5-1build5
2026-01-13 02:04:26 install libsepol2:amd64 <none> 3.5-2build1
2026-01-13 02:04:26 status half-installed libsepol2:amd64 3.5-2build1
2026-01-13 02:04:26 status unpacked libsepol2:amd64 3.5-2build1
2026-01-13 02:04:26 install libsmartcols1:amd64 <none> 2.39.3-9ubuntu6
2026-01-13 02:04:26 status half-installed libsmartcols1:amd64 2.39.3-9ubuntu6
2026-01-13 02:04:26 status unpacked libsmartcols1:amd64 2.39.3-9ubuntu6
2026-01-13 02:04:26 install libss2:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:26 status half-installed libss2:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:26 status unpacked libss2:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:26 install libssl3t64:amd64 <none> 3.0.13-0ubuntu3
2026-01-13 02:04:26 status half-installed libssl3t64:amd64 3.0.13-0ubuntu3
2026-01-13 02:04:26 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3
2026-01-13 02:04:26 install libsystemd0:amd64 <none> 255.4-1ubuntu8
2026-01-13 02:04:26 status half-installed libsystemd0:amd64 255.4-1ubuntu8
2026-01-13 02:04:26 status unpacked libsystemd0:amd64 255.4-1ubuntu8
2026-01-13 02:04:26 install libtinfo6:amd64 <none> 6.4+20240113-1ubuntu2
2026-01-13 02:04:26 status half-installed libtinfo6:amd64 6.4+20240113-1ubuntu2
2026-01-13 02:04:26 status unpacked libtinfo6:amd64 6.4+20240113-1ubuntu2
2026-01-13 02:04:26 install libudev1:amd64 <none> 255.4-1ubuntu8
2026-01-13 02:04:26 status half-installed libudev1:amd64 255.4-1ubuntu8
2026-01-13 02:04:26 status unpacked libudev1:amd64 255.4-1ubuntu8
2026-01-13 02:04:26 install libuuid1:amd64 <none> 2.39.3-9ubuntu6
2026-01-13 02:04:26 status half-installed libuuid1:amd64 2.39.3-9ubuntu6
